T0_Pa,T0_over_mu,lambda_R,lambda_Z,J1,J1_minus_1,Keff_Pa,Keff_over_mu,radius_A_m,rho0_kg_per_m3,f_01_Hz,omega_01_rad_per_s,f_11_Hz,omega_11_rad_per_s,f_21_Hz,omega_21_rad_per_s,f_02_Hz,omega_02_rad_per_s
0.0,0.0,1.0,1.0,1.0,0.0,2200000.0,1.0,0.15,1400.0,101.14857621974505,635.5352479460366,161.1641235837099,1012.6240533456412,216.00771921530043,1357.2165276109492,232.17818843069668,1458.8185821953268
33000.0,0.015,1.002089349742623,0.9983260305943352,1.002502093139318,0.00250209313931804,2212803.4957101517,1.0058197707773417,0.15,1400.0,101.44247999097576,637.381899803158,161.6324123671866,1015.5663985494988,216.63536505733774,1361.1601427437504,232.85282022214224,1463.0574187550937
82500.0,0.0375,1.0052461899686804,0.9957875867367673,1.006263175006722,0.0062631750067219105,2231896.413188476,1.0144983696311256,0.15,1400.0,101.87918232276407,640.1257814778614,162.32822788135383,1019.938336364622,217.56796419210625,1367.0198359248163,233.85523429525583,1469.355772130991
156750.0,0.07125,1.0100338930135784,0.9919176168741591,1.0119230726488413,0.011923072648841293,2260281.161888276,1.0274005281310346,0.15,1400.0,102.52497363628783,644.1834079704981,163.35719333941344,1026.4035170122975,218.94708304811726,1375.685095257759,235.33759482747413,1478.669718046968
266750.0,0.12125,1.0172462294609368,0.9860453821199305,1.0203497938325103,0.020349793832510343,2301764.569009685,1.0462566222771295,0.15,1400.0,103.46152699590287,650.067946279021,164.8494417430274,1035.779590256547,220.94713843885623,1388.2518139023955,237.48737558100348,1492.177188891201
376750.0,0.17125,1.024607097794051,0.9800048995138849,1.0288284543591695,0.028828454359169475,2342559.633108899,1.0647998332313178,0.15,1400.0,104.3743445431131,655.8033480797881,166.3038709153013,1044.9180382621116,222.89650484421446,1400.5000442588519,239.58267274088232,1505.342329220327
486750.0,0.22125,1.0321234805627857,0.9737934627041546,1.0373616084526676,0.03736160845266756,2382654.5516712056,1.0830247962141843,0.15,1400.0,105.26378305628211,661.3918550773712,167.72104932565344,1053.8224328276883,224.7959441817934,1412.4345735966067,241.62430526232714,1518.170284681729
596750.0,0.27125,1.0398027675810317,0.9674082785830175,1.0459519588563575,0.0459519588563575,2422036.916085744,1.1009258709480654,0.15,1400.0,106.13015846589202,666.8354523215339,169.10148035891797,1062.4959368134707,226.6461311365508,1424.0596410862736,243.6129983376219,1530.6656117929108
706750.0,0.32125,1.0476527851786204,0.9608464677645325,1.0546023669672273,0.05460236696722731,2460693.684158315,1.1184971291628705,0.15,1400.0,106.97374764162846,672.1358794358168,170.4456051627798,1070.941322032111,228.44765697720788,1435.3789617787947,245.54938749822384,1542.8323037157868
770000.0,0.35,1.0522470576569873,0.956992299013433,1.05960471720668,0.059604717206680036,2482587.468508317,1.1284488493219624,0.15,1400.0,107.44858806187742,675.1193897875801,171.20218763810092,1075.6950699247184,229.46170186051285,1441.750393690397,246.6393443981367,1549.6807048947783
