tau_N_per_m,sigma_Pa,radius_m,rho_s_kg_per_m2,f_01_Hz,f_11_Hz,f_21_Hz,f_02_Hz
190.0,1000000.0,0.15,0.266,68.19435617570488,108.65682995414616,145.63237458595418,156.53450270694043
265.42713567839195,1396984.9246231155,0.15,0.266,80.60171698960657,128.4259805076365,172.12889891734682,185.01457296239664
340.8542713567839,1793969.8492462311,0.15,0.266,91.33894760246784,145.53404496203427,195.05877872439555,209.6609975155294
416.2814070351759,2190954.773869347,0.15,0.266,100.94042756289525,160.83247189754627,215.5632076037264,231.7004004095714
491.70854271356785,2587939.6984924623,0.15,0.266,109.70476965033852,174.79705315118616,234.279887714165,251.81822257474647
567.1356783919598,2984924.6231155777,0.15,0.266,117.81894181958845,187.72569233858798,251.6080982447033,270.4436334829374
642.5628140703518,3381909.5477386937,0.15,0.266,125.40920866882665,199.81957195846903,267.81748340478225,287.86646307307535
717.9899497487437,3778894.472361809,0.15,0.266,132.56559201540585,211.22212741881322,283.1002891772195,304.2933489791571
793.4170854271357,4175879.3969849246,0.15,0.266,139.35495238364788,222.0398903012541,297.599299473604,319.87776400322036
868.8442211055277,4572864.3216080405,0.15,0.266,145.82856140448794,232.35455377215348,311.4240073631678,334.737397932243
944.2713567839196,4969849.2462311555,0.15,0.266,152.0267604363003,242.2303953518636,324.6605637848381,348.964851016829
1019.6984924623116,5366834.170854271,0.15,0.266,157.98196876925536,251.7190700085787,337.3782017144016,362.63453905543327
1095.1256281407036,5763819.095477387,0.15,0.266,163.72070432191438,260.86282981606894,349.63355146066573,375.80733173621746
1170.5527638190956,6160804.020100502,0.15,0.266,169.26498631175156,269.6967588854396,361.47363613679005,388.5337723511873
1245.9798994974874,6557788.944723618,0.15,0.266,174.63333633236002,278.2503684219924,372.9380095094988,400.85637568609667
1321.4070351758794,6954773.869346733,0.15,0.266,179.84151001930812,286.5487625180714,384.06031850721246,412.81130749888854
1396.8341708542714,7351758.793969849,0.15,0.266,184.90304295353997,294.61350796306283,394.86946902339264,424.42963759578663
1472.2613065326634,7748743.718592965,0.15,0.266,189.8296653869789,302.46329504249815,405.390511583301,435.73829179960717
1547.6884422110554,8145728.64321608,0.15,0.266,194.63162237515803,310.1144476183412,415.64532500285037,446.76078678772666
1623.1155778894472,8542713.567839196,0.15,0.266,199.3179244218639,317.5813224912518,425.6531516524688,457.51780542612477
1698.5427135678392,8939698.492462311,0.15,0.266,203.89654622698635,324.87662607358516,435.4310218928299,468.0276529786314
1773.9698492462312,9336683.417085428,0.15,0.266,208.37458609616314,332.01166838323564,444.99409450192553,478.3066230185769
1849.3969849246232,9733668.341708543,0.15,0.266,212.75839512978342,338.996568885709,454.3559325644854,488.3692939714617
1924.8241206030152,10130653.266331658,0.15,0.266,217.05368291198099,345.8404248926762,463.5287291759786,498.2287717152962
2000.2512562814072,10527638.190954775,0.15,0.266,221.2656047222625,352.55145051979355,472.5234936873004,507.8968897676788
2075.6783919597992,10924623.11557789,0.15,0.266,225.39883407099128,359.1370922604264,481.35020660783636,517.3843757849966
2151.1055276381912,11321608.040201005,0.15,0.266,229.4576234689447,365.6041258122474,490.01794938181735,526.700991053918
2226.5326633165832,11718592.96482412,0.15,0.266,233.44585568278936,371.9587377446606,498.53501384688695,535.8556481440951
2301.959798994975,12115577.889447236,0.15,0.266,237.36708723604343,378.20659481064683,506.908995132529,544.8565107610233
2377.386934673367,12512562.814070351,0.15,0.266,241.224585542969,384.3529031136988,515.1468709613064,553.7110789838197
2452.814070351759,12909547.738693466,0.15,0.266,245.0213607786695,390.402458887738,523.2550697090085,562.4262624203948
2528.241206030151,13306532.663316583,0.15,0.266,248.76019336960778,396.3596922988708,531.2395291119947,571.0084433096621
2603.668341708543,13703517.587939698,0.15,0.266,252.44365781840983,402.2287054064132,539.105747146224,579.4635312094044
2679.095477386935,14100502.512562813,0.15,0.266,256.074143443246,408.013305207787,546.858826317216,587.7970106018074
