T0_Pa,T0_over_mu,lambda_R,lambda_Z,J1,J1_minus_1,Keff_Pa,Keff_over_mu,radius_A_m,rho0_kg_per_m3,f_01_Hz,omega_01_rad_per_s,f_11_Hz,omega_11_rad_per_s,f_21_Hz,omega_21_rad_per_s,f_02_Hz,omega_02_rad_per_s
0.0,0.0,1.0,1.0,1.0,0.0,1268115942.0289855,1.0,0.15,1400.0,2428.4430025392685,15258.35739287781,3869.3366017032863,24311.75888435428,5186.05850746977,32584.966616307756,5574.290000996617,35024.29703222003
38043478.26086956,0.03,1.0042634822296501,0.996708960781892,1.005225980125324,0.005225980125324048,1282657979.2638087,1.0114674350766035,0.15,1400.0,2442.3273178664126,15345.59511894157,3891.4590437077863,24450.758286915887,5215.709140219824,32771.26703635147,5606.160298144979,35224.54401499806
95108695.6521739,0.075,1.010752131944252,0.9916584171002734,1.0130979453736373,0.013097945373637288,1304210748.5793114,1.0284633331653998,0.15,1400.0,2462.7613037670176,15473.985638919366,3924.0173411359024,24655.328102943007,5259.3469140158495,33045.45125550468,5653.064822223635,35519.25383152932
180706521.73913044,0.14250000000000002,1.0207046868367744,0.983822414876858,1.0249836338670926,0.02498363386709257,1335945179.278341,1.0534881985166347,0.15,1400.0,2492.5435330327236,15661.112904256704,3971.4705733746737,24953.485554523835,5322.9483175873265,33445.07065994099,5721.427465542675,35948.78898759148
307518115.942029,0.24250000000000002,1.0359665518569923,0.9716268509227473,1.0427758755110985,0.042775875511098516,1381615559.3352718,1.0895025553615287,0.15,1400.0,2534.7903278555536,15926.557344762941,4038.784102801429,25376.428933592426,5413.168409010175,34011.94021278143,5818.401487872546,36558.09473987262
434329710.14492756,0.3425,1.0519003669385243,0.9587105840555471,1.0608078751882322,0.06080787518823216,1425629955.2368674,1.1242110504153584,0.15,1400.0,2574.8494409047053,16178.256175292017,4102.611910244625,25777.470875509003,5498.716599275714,34549.455344913666,5910.353867683473,37135.84858166084
561141304.3478261,0.4425,1.068573818714903,0.9450496332027264,1.0791049293834212,0.07910492938342117,1467924798.5543847,1.1575635554314576,0.15,1400.0,2612.7649248239773,16416.48618676819,4163.024186566008,26157.05240246479,5579.686964953957,35058.20715686016,5997.385724174709,37682.68586362313
687952898.5507247,0.5425000000000001,1.0860631285875695,0.9306186259476974,1.0976954907217535,0.09769549072175354,1508429909.473759,1.1895047286135927,0.15,1400.0,2648.567228568047,16641.43869561611,4220.069447318421,26515.478346668584,5656.144531273117,35538.60421417942,6079.566950402597,38199.0457367842
814764492.7536232,0.6425000000000001,1.1044543630420478,0.9153909151900905,1.1166116335872736,0.11661163358727356,1547067900.6532848,1.2199735445151618,0.15,1400.0,2682.273884479783,16853.22386079489,4273.775627493918,26852.924228852004,5728.126739406738,35990.88176670293,6156.937790409696,38685.18106192095
887681159.4202898,0.7,1.1154750744681503,0.9062634866340853,1.1276497378064125,0.12764973780641253,1568406512.1638591,1.2368005638777861,0.15,1400.0,2700.70875301373,16969.053555907172,4303.148650246111,27037.480373836035,5767.495300536069,36238.24173155554,6199.253505965308,38951.05854416276
